query_id,best_hit
sp|O00585|CCL21_HUMAN,2L4N_A
sp|O15258|RER1_HUMAN,5AWW_Y
sp|O43242|PSMD3_HUMAN,6MSB_V
sp|O43462|MBTP2_HUMAN,3B4R_B
sp|O43586|PPIP1_HUMAN,4BNE_B
sp|O43805|SSNA1_HUMAN,7KZN_A
sp|O60733|PLPL9_HUMAN,6AUN_B
sp|O60938|KERA_HUMAN,5MX0_B
sp|O75460|ERN1_HUMAN,6W39_A
sp|O95988|TCL1B_HUMAN,1JNP_B
sp|P02795|MT2_HUMAN,4MT2_A
sp|P08686|CP21A_HUMAN,4Y8W_C
sp|P11474|ERR1_HUMAN,7KW7_F
sp|P17010|ZFX_HUMAN,6QNX_C
sp|P17658|KCNA6_HUMAN,7EJ1_D
sp|P19256|LFA3_HUMAN,1CCZ_A
sp|P26196|DDX6_HUMAN,5ANR_B
sp|P48378|RFX2_HUMAN,1DP7_P
sp|P48449|LSS_HUMAN,1W6K_A
sp|P51684|CCR6_HUMAN,6WWZ_R
sp|P57082|TBX4_HUMAN,5BQD_A
sp|P60842|IF4A1_HUMAN,6QX9_5X
sp|P63172|DYLT1_HUMAN,5VKY_A
sp|P79483|DRB3_HUMAN,6PY2_B
sp|Q13614|MTMR2_HUMAN,1LW3_A
sp|Q14195|DPYL3_HUMAN,4B90_A
sp|Q15485|FCN2_HUMAN,3GHG_H
sp|Q15506|SP17_HUMAN,7MY4_B
sp|Q2WEN9|CEA16_HUMAN,3R4D_C
sp|Q49AN0|CRY2_HUMAN,4K0R_A
sp|Q5T440|CAF17_HUMAN,6QE3_A
sp|Q5T686|AVPI1_HUMAN,7PUA_F5
sp|Q6QHK4|FIGLA_HUMAN,4AYA_B
sp|Q6ZRY4|RBPS2_HUMAN,5YVG_X
sp|Q71SY5|MED25_HUMAN,7EMF_Y
sp|Q7L3V2|BOP_HUMAN,7Q5B_C
sp|Q86T96|RN180_HUMAN,6RZZ_s
sp|Q86U90|YRDC_HUMAN,4E1B_A
sp|Q86WR0|CCD25_HUMAN,7AS8_0
sp|Q8IZF6|AGRG4_HUMAN,7D76_R
sp|Q8N2H4|SYS1_HUMAN,4Z1P_A
sp|Q8N4C6|NIN_HUMAN,1IJ5_A
sp|Q8TAP4|LMO3_HUMAN,1RUT_X
sp|Q8TAP4|LMO3_HUMAN,1RUT_X
sp|Q92547|TOPB1_HUMAN,6HM5_A
sp|Q93077|H2A1C_HUMAN,7N8N_D
sp|Q96PE7|MCEE_HUMAN,6QH4_C
sp|Q99884|SC6A7_HUMAN,6VRK_A
sp|Q9BRJ9|MESP1_HUMAN,4AYA_B
sp|Q9BXV9|GON7_HUMAN,6GWJ_D
sp|Q9GZX7|AICDA_HUMAN,6WMC_A
sp|Q9H171|ZBP1_HUMAN,2LNB_A
sp|Q9H3H1|MOD5_HUMAN,3EPJ_B
sp|Q9NP58|ABCB6_HUMAN,7D7N_B
sp|Q9P266|JCAD_HUMAN,7OKY_O
sp|Q9UHJ6|SHPK_HUMAN,5VM1_C
sp|Q9ULH7|MRTFB_HUMAN,2YJF_M
sp|Q9Y2V3|RX_HUMAN,6T90_K
sp|Q9Y4R7|TTLL3_HUMAN,5VLQ_B
sp|Q9Y6A2|CP46A_HUMAN,7N3M_AAA
sp|A6NNN8|S38A8_HUMAN,7KGV_B
sp|Q2M1V0|ISX_HUMAN,6T90_K
sp|Q30KP8|DB136_HUMAN,1E4R_A
sp|Q8TB03|CX038_HUMAN,7N9F_K
sp|Q8WZ94|OR5P3_HUMAN,7JOZ_R
sp|Q96SL8|FIZ1_HUMAN,6QNX_C
sp|Q9BSH3|NICN1_HUMAN,2SNW_B
sp|Q9BZI1|IRX2_HUMAN,4EGC_A
sp|Q9UN66|PCDB8_HUMAN,5SZP_A
tr|A0A5K1VW54|A0A5K1VW54_HUMAN,5KB6_B
tr|A0A7P0T8W1|A0A7P0T8W1_HUMAN,7ABV_A
tr|A0A804HHZ2|A0A804HHZ2_HUMAN,6SRH_A
sp|A8MPS7|YDJC_HUMAN,2I5I_A
tr|B4DP72|B4DP72_HUMAN,4OBX_C
tr|F5H211|F5H211_HUMAN,3O65_E
tr|J3QR65|J3QR65_HUMAN,1LW3_A
sp|P98182|ZN200_HUMAN,6QNX_C
sp|Q9BWT6|MND1_HUMAN,4Y66_C
sp|Q9HCL3|ZFP14_HUMAN,6QNX_C
sp|A0A1B0GTY4|TEX50_HUMAN,7E57_C
tr|A0A2Q2TCK2|A0A2Q2TCK2_HUMAN,6OB0_B
tr|A0A494C1A4|A0A494C1A4_HUMAN,6NZW_D
tr|A0A494C1H9|A0A494C1H9_HUMAN,6J6U_A
tr|A0A7I2V343|A0A7I2V343_HUMAN,5JHE_A
tr|A0A7I2V410|A0A7I2V410_HUMAN,7V2H_Q
tr|A0A994J3Q5|A0A994J3Q5_HUMAN,7K95_B
sp|A6NJJ6|CS067_HUMAN,1VZY_B
tr|B5MCA4|B5MCA4_HUMAN,7E5N_B
tr|B7ZL48|B7ZL48_HUMAN,4GUA_A
tr|C9IYT0|C9IYT0_HUMAN,7BGB_G
tr|C9JNY7|C9JNY7_HUMAN,5F4Z_E
sp|D6RGX4|F90AP_HUMAN,7EGH_A
tr|E7EUL7|E7EUL7_HUMAN,7PER_H
tr|E7EW95|E7EW95_HUMAN,6VHH_B
tr|E9PMB9|E9PMB9_HUMAN,1PJ3_A
tr|E9PRV7|E9PRV7_HUMAN,3V5W_A
tr|F2Z2Z6|F2Z2Z6_HUMAN,6IIV_A
tr|F8VRW9|F8VRW9_HUMAN,2QTS_B
tr|G3V203|G3V203_HUMAN,6ZJ3_Le
tr|H0Y3U1|H0Y3U1_HUMAN,4B1V_M
tr|H0YEQ5|H0YEQ5_HUMAN,7NHT_d
tr|H0YHS3|H0YHS3_HUMAN,6N85_B
tr|H0YKZ9|H0YKZ9_HUMAN,6LQG_C
tr|H0YMJ5|H0YMJ5_HUMAN,6JK8_B
tr|H3BNC9|H3BNC9_HUMAN,3J7A_W
tr|H3BUD4|H3BUD4_HUMAN,4GNK_D
tr|H7BXH2|H7BXH2_HUMAN,7NRC_A
tr|J3KS65|J3KS65_HUMAN,1WA5_B
tr|J3QLT5|J3QLT5_HUMAN,6VX9_A
tr|K7EMR5|K7EMR5_HUMAN,6B9H_A
tr|M0R1M6|M0R1M6_HUMAN,7MDZ_m
tr|Q4TT37|Q4TT37_HUMAN,7OF0_X
sp|Q4V348|Z658B_HUMAN,6QNX_C
sp|Q502W7|CCD38_HUMAN,7MOQ_Z
tr|Q5T8A5|Q5T8A5_HUMAN,1A3Y_A
sp|Q5TG53|SEAS1_HUMAN,4G0R_A
sp|Q5U4N7|GDAS1_HUMAN,6TDV_G
